City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Mana,GF,75.72,broken clouds,5.6592,-53.7767,LE SAMANA
253,Lock Haven,US,81.09,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
254,High Rock,BS,78.82,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
259,Luwuk,ID,84.07,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
261,Yerbogachen,RU,77.99,few clouds,61.2767,108.0108,
263,Terre Haute,US,86.27,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
265,Banda Aceh,ID,84.52,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
267,Dzerzhinskoye,RU,78.71,scattered clouds,56.8344,95.2283,Kolos
268,Okmulgee,US,82.26,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
271,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
275,Karratha,AU,82.81,broken clouds,-20.7377,116.8463,ibis Styles Karratha
281,Canon City,US,76.98,clear sky,38.441,-105.2424,Travel Inn Motel
285,Poum,NC,78.89,clear sky,-20.2333,164.0167,
287,Khilok,RU,82.85,broken clouds,51.3674,110.4676,"Gostevoy Dom ""Magnit"""
288,Qui Nhon,VN,87.19,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
293,Hambantota,LK,82.74,moderate rain,6.1241,81.1185,Bungalow 63
295,Shenjiamen,CN,75.24,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
296,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
298,Bud,US,82.9,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
301,Robertsport,LR,77.76,light rain,6.7533,-11.3686,Kwepunha Retreat
302,Porbandar,IN,87.78,drizzle,21.6422,69.6093,Lords Inn Porbandar
305,Bandarbeyla,SO,84.15,overcast clouds,9.4942,50.8122,JABIR HOTEL
306,Kavieng,PG,82.76,light rain,-2.5744,150.7967,Nusa Island Retreat
308,Anloga,GH,76.06,light rain,5.7947,0.8973,Pin Drop Hotel
311,Dingle,PH,89.08,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
312,Maningrida,AU,88.29,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
315,Kallithea,GR,78.57,few clouds,37.95,23.7,Athens Atrium Hotel
316,Nacozari,MX,82.11,few clouds,25.3366,-108.2574,El Llano
319,Shache,CN,89.8,overcast clouds,38.4167,77.2406,Delong Hotel
320,Ambilobe,MG,75.52,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
321,Casimiro Castillo,MX,75.7,overcast clouds,19.6,-104.4333,Hotel San José
323,Kudahuvadhoo,MV,83.59,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
328,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
329,Hovd,MN,79.39,broken clouds,48.0056,91.6419,Hotel Khovd
331,Malakal,SS,78.22,overcast clouds,9.5334,31.6605,Nile Palace Hotel
335,Muisne,EC,75.06,light rain,0.6,-80.0333,Quinta Samay
337,Zhanakorgan,KZ,89.2,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
339,Saint Simons,US,82.44,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
340,Avera,US,82.45,overcast clouds,33.194,-82.5271,
344,Ulaangom,MN,76.3,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
345,Yaring,TH,82.29,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
347,Melilla,ES,75.58,clear sky,35.2937,-2.9383,Hotel Anfora
351,Kentau,KZ,88.65,clear sky,43.5206,68.5094,Safary
360,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
361,Bull Savanna,JM,76.39,overcast clouds,17.8868,-77.5902,Big Red's
362,Galveston,US,84.16,broken clouds,29.3669,-94.9669,Crystal Suites
370,Medea,DZ,75.16,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
371,Mandalgovi,MN,81.68,broken clouds,45.7625,106.2708,В.Ганбат
375,Zhuhai,CN,87.58,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
379,Callaway,US,82.33,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
386,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
391,Aden,YE,88.25,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
392,Burpengary,AU,77.02,clear sky,-27.1575,152.9576,Homestay Experience
402,Chifeng,CN,83.71,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
404,Cookeville,US,81.39,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
413,Cayenne,GF,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
418,Buala,SB,82.72,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
424,Chumphon,TH,88.97,broken clouds,10.3333,98.8333,สกาน จ๋า.
425,Itoman,JP,77.4,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
428,Lagos,NG,77.32,light rain,6.5833,3.75,
431,Meulaboh,ID,82.06,overcast clouds,4.1363,96.1285,Kost Pria
437,Gwadar,PK,84.52,broken clouds,25.1216,62.3254,Sadaf Resort
438,Diglur,IN,89.78,overcast clouds,18.55,77.6,Khateeb cottage
447,Caraballeda,VE,78.87,broken clouds,10.6112,-66.8522,Hotel 15 Letras
448,Port-Gentil,GA,75.25,scattered clouds,-0.7193,8.7815,Fengshui Residence
453,Chino Valley,US,76.21,clear sky,34.7575,-112.4538,Primrose Inn & Suites
